Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): D:/ashish/arpit_syn/dat files/syn8.dat
 8.234540e-001  3.098730e+003 -1.000000e+000
 8.298460e-001  2.940900e+003 -1.000000e+000
 8.362380e-001  2.655790e+003 -1.000000e+000
 8.426300e-001  2.979710e+003 -1.000000e+000
 8.490230e-001  4.679460e+003 -1.000000e+000
 8.554150e-001  2.234290e+003 -1.000000e+000
 8.618070e-001  2.832960e+003 -1.000000e+000
 8.681990e-001  3.455560e+003 -1.000000e+000
 8.745910e-001  2.378780e+003 -1.000000e+000
 8.809830e-001  2.149590e+003 -1.000000e+000
 8.873750e-001  2.398810e+003 -1.000000e+000
 8.937670e-001  2.131730e+003 -1.000000e+000
 9.001600e-001  2.765890e+003 -1.000000e+000
 9.065520e-001  2.384440e+003 -1.000000e+000
 9.129440e-001  2.515970e+003  9.928470e+002
 9.193360e-001  2.485010e+003 -1.000000e+000
 9.257280e-001  2.789920e+003 -1.000000e+000
 9.321200e-001  2.682030e+003 -1.000000e+000
 9.385120e-001  2.719750e+003 -1.000000e+000
 9.449040e-001  2.186490e+003 -1.000000e+000
 9.512960e-001  1.970830e+003 -1.000000e+000
 9.576880e-001  2.811130e+003 -1.000000e+000
 9.640800e-001  2.723380e+003 -1.000000e+000
 9.704720e-001  2.466870e+003 -1.000000e+000
 9.768640e-001  2.486020e+003 -1.000000e+000
 9.832560e-001  2.366700e+003 -1.000000e+000
 9.896480e-001  2.687230e+003 -1.000000e+000
 9.960400e-001  2.155570e+003 -1.000000e+000
 1.002430e+000  2.635490e+003  3.050480e+002
 1.008820e+000  2.047280e+003 -1.000000e+000
 1.015220e+000  2.167210e+003 -1.000000e+000
 1.021610e+000  2.148230e+003 -1.000000e+000
 1.028000e+000  1.619150e+003 -1.000000e+000
 1.034390e+000  1.920400e+003 -1.000000e+000
 1.040780e+000  1.890470e+003 -1.000000e+000
 1.047180e+000  1.985030e+003 -1.000000e+000
 1.053570e+000  1.812200e+003 -1.000000e+000
 1.059960e+000  2.518180e+003 -1.000000e+000
 1.066350e+000  2.605670e+003 -1.000000e+000
 1.072740e+000  2.245440e+003 -1.000000e+000
 1.079140e+000  1.915460e+003 -1.000000e+000
 1.085530e+000  2.261290e+003 -1.000000e+000
 1.091920e+000  2.495860e+003  1.069050e+003
 1.098310e+000  2.031070e+003  5.673210e+002
 1.104700e+000  1.610720e+003  6.282540e+002
 1.111100e+000  1.751530e+003 -1.000000e+000
 1.117490e+000  1.782990e+003 -1.000000e+000
 1.123880e+000  2.000810e+003 -1.000000e+000
 1.130270e+000  1.430640e+003 -1.000000e+000
 1.136660e+000  1.784460e+003 -1.000000e+000
 1.143050e+000  1.533000e+003  5.273820e+002
 1.149450e+000  1.573520e+003 -1.000000e+000
 1.155840e+000  1.344620e+003 -1.000000e+000
 1.162230e+000  1.578790e+003 -1.000000e+000
 1.168620e+000  2.137260e+003 -1.000000e+000
 1.175010e+000  1.821650e+003 -1.000000e+000
 1.181410e+000  2.006460e+003  6.212120e+002
 1.187800e+000  1.821440e+003  4.796340e+002
 1.194190e+000  1.335350e+003 -1.000000e+000
 1.200580e+000  1.188440e+003 -1.000000e+000
 1.206970e+000  1.480970e+003 -1.000000e+000
 1.213370e+000  1.307690e+003 -1.000000e+000
 1.219760e+000  1.351390e+003 -1.000000e+000
 1.226150e+000  1.598220e+003 -1.000000e+000
 1.232540e+000  1.544630e+003  6.269660e+002
 1.238930e+000  1.643240e+003  5.890410e+002
 1.245320e+000  1.658470e+003 -1.000000e+000
 1.251720e+000  1.522010e+003 -1.000000e+000
 1.258110e+000  1.176690e+003 -1.000000e+000
 1.264500e+000  1.160180e+003 -1.000000e+000
