ID,Replica,Forcefield,Rank,Value,backbone_comparison,ada_score,ata_score,rama_score,rg_diff
41,replica_04,AMBER99SB-DISP,1,1.3208636673796683,0.0,,,,
24,replica_01,AMBER99SB-DISP,2,1.3568175242948202,0.00854844798472812,0.07234982856020239,0.07306573474183507,0.041121125914019174,0.09442765505149353
22,replica_05,AMBER99SB-DISP,3,1.3706122151617366,0.011823080424544448,0.08860037630486749,0.07301810784728004,0.04410146163812266,0.1025283353902493
43,replica_02,DESAMBER,4,1.3807073107306393,0.03263821462232524,0.12757718458531067,0.13443754439977473,0.09902390038203987,0.3874238719248493
12,replica_05,CHARMM36M,5,1.3964299158351372,0.07250723192447996,0.2509605106340427,0.18557645602097364,0.12717368553700384,-0.779634155654056
28,replica_01,CHARMM36M,6,1.398776859750759,0.04367208185464592,0.23393129557657308,0.1473619762553078,0.12290922822229271,-0.9214118982341766
7,replica_03,CHARMM36M,7,1.42792039604683,0.04263454745011066,0.23542244996675857,0.11990095352641665,0.09989803353094262,-0.8688645259285186
33,replica_04,DESAMBER,8,1.5596367241425881,0.013593198222675094,0.05033530738965222,0.07200859541680496,0.06903343496179222,-0.12219376370624468
16,replica_01,DESAMBER,9,1.5650537979711299,0.012780530899843354,0.08978856567845749,0.09984561373935046,0.07991903503910033,-0.20725214782510104
32,replica_05,DESAMBER,10,1.5765246052124429,0.022541137689988028,0.12536756998130483,0.09323646514593553,0.07272637629059125,-0.22294626575880727
36,replica_04,CHARMM36M,11,1.5905218450886351,0.049650265912187255,0.2677491258526184,0.13787664418085024,0.1383288726166735,-1.0309203262159203
20,replica_03,DESAMBER,12,1.6574386860508694,0.00860061370375027,0.0787948111775641,0.06940668024353347,0.05397098755650423,0.28992208495373983
35,replica_01,AMBER99SBWS,13,1.6959875635407702,0.00946034293387051,0.06279172861943229,0.09532268549479185,0.07988361631592696,0.1263145216084336
18,replica_02,CHARMM36M,14,1.7391605676092816,0.040753226327362425,0.2491193646441524,0.1701022857738636,0.12243023170719776,-1.014143314706612
11,replica_02,AMBER99SB-DISP,15,1.7407193799981933,0.025491421759941343,0.16176852974217984,0.12402612593372914,0.0754496429056981,-0.6577738180850874
47,replica_02,AMBER99SBWS,16,1.7966212485827484,0.012058872178351334,0.05972771834125808,0.11364471052953279,0.0746386494941137,-0.020623699778663962
4,replica_04,AMBER99SBWS,17,1.8827891556884158,0.009121627710443303,0.03903038353899537,0.06475505526291978,0.07454443097052627,0.08485850042537013
19,replica_03,AMBER99SB-DISP,18,2.0448953634950704,0.027474358964351155,0.12857107952626118,0.09624485114247386,0.060673941688149796,-0.16212036218432946
2,replica_03,AMBER99SBWS,19,2.115712034476523,0.008759216978052865,0.06823355561279147,0.07397469652452453,0.06265726728294396,0.1938323778931168
34,replica_05,AMBER99SBWS,20,2.383321103324741,0.009743133185935149,0.130683776656092,0.07916299692540295,0.05912329734204182,0.5485983350987675
29,replica_01,AMBER03WS,21,2.3857620021073163,0.010862179726949635,0.08439072779999698,0.08961492894816343,0.07259136593377,0.23116114516012587
10,replica_04,AMBER03WS,22,2.5051923337174613,0.0063516310969008545,0.02954838721770781,0.04218343053401857,0.04957853971448991,0.21487506512792987
3,replica_03,AMBER03WS,23,2.707934355740564,0.00994818755115673,0.08510966157557079,0.07127719589856117,0.06106862827944221,0.29280402143161544
44,replica_02,AMBER03WS,24,2.8193105384354786,0.010738083229299337,0.06168825215445449,0.09284719886444065,0.06078298251948601,-0.3523613208205987
6,replica_05,AMBER03WS,25,2.9974246338519754,0.014422281634218027,0.1441425903779724,0.08506584817218443,0.06067652843115525,0.44245718689080515
